Course Number,Title,Description,Instructors,Terms Offered,Equivalent Courses
HIST 13001,History of European Civilization I,"The first part of the sequence examines the period from approximately 500 to 1700 in European history. It challenges students to question two-dimensional, rigid narratives about the fall of Rome, the Dark Ages, the Renaissance and Reformation, and the early Enlightenment by reading historical sources with empathy and attention to their authors' own perspectives. For example, we explore the entanglement of the political, economic, and religious by reading a chronicle written by a monk; we examine gender relations and daily life by reading men's and women's personal letters; and we investigate the earliest contacts between Europeans and the peoples of the Americas by reading eyewitness accounts of their interactions. In the process of recovering the lived experiences of medieval and early modern Europeans, the course engages with the sophisticated societies and cultures of premodern Europe, which many subsequent generations post-1700 would come to label backwards and uncivilized.",Staff,"Autumn
Winter
Prerequisite(s): Students must take a minimum of two quarters of European Civilization to fulfill the general education requirement.
Note(s): The two-quarter sequence may also be supplemented by a third quarter, in which students will have the opportunity to explore in greater depth a particular topic in the history of European civilization.",SOSC 28001
HIST 13002,History of European Civilization II,"The second part of the sequence examines the period from approximately 1700 to the present in European history. Major topics include the Enlightenment, the French Revolution, industrialization, the world wars, and the European Union. This course challenges students to do more than simply define conceptual terms like imperialism, nationalism, liberalism, capitalism, and communism. We situate these and other grand narratives in new ideas of progress, new technologies and forms of knowledge production, and the material transformations of everyday life. Changes in media (newspapers, radio, films, etc.) and the rise of mass production and consumption in these centuries were both the cause and effect of many of the events we will be discussing. Sources include nineteenth-century novels, eyewitness accounts to revolution and the Holocaust, and speeches and manifestos of the political and cultural avant-garde. Throughout the course, we will continuously examine the paradoxes that have shaped modern Europe: its resilience and fragility, its great experiments in liberty and tragic acts of violence.",Staff,"Spring
Winter
Prerequisite(s): HIST 13001
Note(s): The two-quarter sequence may also be supplemented by a third quarter, in which students will have the opportunity to explore in greater depth a particular topic in the history of European civilization.",SOSC 28002
HIST 13003,History of European Civilization III,"Students who plan to complete a three-quarter sequence register for HIST 13003 in Spring Quarter after completing HIST 13001-13002. In the third part of the History of European Civilization sequence, students will have the opportunity to explore in greater depth a particular aspect of European history. 
This course will provide an overview of early modern European colonialism, from the Spanish conquest of the New World to the Haitian Revolution. Using exclusively primary documents, we will examine debates in sixteenth century Spain over the treatment of indigenous populations, the mutual formation of property and dispossession in the British American colonies, the transatlantic slave trade and the expansion of plantation economies in the Caribbean, the development of ideas about race and culture in the eighteenth century, and resistance to colonialism at the end of the eighteenth century.",Staff,"Spring
Prerequisite(s): For the 3-qtr sequence register for HIST 13003 after completing HIST 13001-13002. Only HIST 13001-13002 complete the 2-qtr sequence.
Note(s): Students may not combine HIST 13003 with one other quarter of European Civilization to fulfill the general education requirement. Spring 23 topic: TBD",SOSC 28003
HIST 13100-13200-13300,History of Western Civilization I-II-III,"Available as a three-quarter sequence (Autumn-Winter-Spring) or as a two-quarter sequence (Autumn-Winter or Winter-Spring). This sequence meets the general education requirement in civilization studies. The purpose of this sequence is threefold: (1) to introduce students to the principles of historical thought, (2) to acquaint them with some of the more important epochs in the development of Western civilization since the sixth century BC, and (3) to assist them in discovering connections between the various epochs. The purpose of the course is not to present a general survey of Western history. Instruction consists of intensive investigation of a selection of original documents bearing on a number of separate topics, usually two or three a quarter, occasionally supplemented by the work of a modern historian. The treatment of the selected topics varies from section to section. This sequence is currently offered twice a year. The amount of material covered is the same whether the student enrolls in the Autumn-Winter-Spring sequence or the Summer sequence.",,,
HIST 13100,History of Western Civilization I,"This first course of the History of Western Civilization sequence focuses on the history of classical civilization, beginning with the world of Homer and ending with the world of St. Augustine. Key topics covered through discussions of texts include the development of the Greek Polis and the Peloponnesian War; the Roman Republic and Empire; and the development of Christianity in the Roman Empire.","K. Weintraub, Autumn; J. Boyer, Summer","Autumn
Summer
Prerequisite(s): These courses must be taken in sequence.",SOSC 28110
HIST 13200,History of Western Civilization II,"This second course of the History of Western Civilization sequence explores major themes in the Middle Ages, the Renaissance, and the Reformation. Key topics explored through discussions of texts include the development of monasticism; the structures of manorialism and feudalism; the consolidation of the papacy and the Holy Roman Empire; and the challenges to these structures seen in the ideas of the humanists and reformers.","K. Weintraub, Winter, Summer","Summer
Winter
Prerequisite(s): These courses must be taken in sequence.",SOSC 28210
HIST 13300,History of Western Civilization III,"This third course of the History of Western Civilization undertakes a detailed study of the French Revolution and charts the rise of liberal, anti-liberal, and post-liberal states and societies in nineteenth- and twentieth-century European history. The sequence closes with an appraisal of the condition of European politics, culture, and society at the end of the twentieth century.","K. Weintraub, Spring; D. Koehler, Summer","Spring
Summer
Prerequisite(s): These courses must be taken in sequence.",SOSC 28310
HIST 13500-13600-13700,America in World Civilization I-II-III,"The America in World Civilization sequence examines America as a contested idea and a contested place by reading and writing about a wide array of primary sources. In the process, students gain a new sense of historical awareness and of the making of America. The course is designed both for history majors and non-majors who want to deepen their understanding of the nation's history, encounter some enlightening and provocative voices from the past, and develop the analytical methods of historical thinking. Together, HIST 13600-13700 (II and III) meet the general education requirement in civilization studies via two civilization courses. Students who take HIST 13500 (I) must also take HIST 13600-13700 to meet the general education requirement via three civilization courses. HIST 13500–13600-13700 courses do not need to be taken in sequence.",,,
HIST 13500,America In World Civilization I,"America in World Civilization I examines foundational texts and moments in American culture, society, and politics, from early European incursions into the New World through the early republic of the United States, roughly 1500-1800. We will examine encounters between Native Americans and representatives of imperial powers (Spain, France, and England) as well as the rise of African slavery in North America before 1700. We will consider the development of Anglo-American society and government in the eighteenth century, focusing especially on the causes and consequences of the American Revolution.",Staff,"Autumn
Prerequisite(s): HIST 13600-13700 (II and III) meet the general education requirement in civilization studies via two civilization courses. Students who take HIST 13500 (I) must also take HIST 13600-13700 to meet the general education requirement via three civilization courses.",SOSC 28500
HIST 13600,America in World Civilization II,"The nineteenth-century quarter of America in World Civilization explores the confrontation of democracy with inequality. This course focuses on themes and problems that include empire and indigenous-US relations; slavery, antislavery, the Civil War, and emancipation; reform and revivalism; women's rights; and the development of industrial capitalism, consumer culture, and urbanism.",Staff,"Summer
Winter
Prerequisite(s): HIST 13600-13700 (II and III) meet the general education requirement in civilization studies via two civilization courses. Students who take HIST 13500 (I) must also take HIST 13600-13700 to meet the general education requirement via three civilization courses.",SOSC 28600
HIST 13700,America in World Civilization III,"The third quarter America in World Civilization focuses on multiple definitions of Americanism in a period characterized by empire, transnational formations, and America's role in the world. We explore the construction of social order in a multicultural society; culture in the shadow of war; the politics of race, ethnicity, and gender; the rise and fall of new social movements on the left and the right; the emergence of the carceral state and militarization of civil space; and the role of climate change and the apocalyptic in shaping imagined futures.",Staff,"Spring
Summer
Prerequisite(s): HIST 13600-13700 (II and III) meet the general education requirement in civilization studies via two civilization courses. Students who take HIST 13500 (I) must also take HIST 13600-13700 to meet the general education requirement via three civilization courses.",SOSC 28700
HIST 13900-14000-14100,Introduction to Russian Civilization I-II-III,"This three-quarter sequence, which meets the general education requirement in civilization studies, provides an interdisciplinary introduction to Russian civilization.",,,
HIST 13900,Introduction to Russian Civilization I,"The first quarter covers the ninth century to the 1870s; the second quarter continues on through the post-Soviet period. Working closely with a variety of primary sources-from oral legends to film and music, from political treatises to literary masterpieces-we will track the evolution of Russian civilization over the centuries and through radically different political regimes. Topics to be discussed include the influence of Byzantine, Mongol-Tataric, and Western culture in Russian civilization; forces of change and continuity in political, intellectual and cultural life; the relationship between center and periphery; systems of social and political legitimization; and symbols and practices of collective identity.",Staff,"Autumn
Note(s): Taking these courses in sequence is recommended but not required.","SOSC 24000, REES 26011"
HIST 14000,Introduction to Russian Civilization II,"The second quarter continues on through the post-Soviet period. Working closely with a variety of primary sources-from oral legends to film and music, from political treatises to literary masterpieces-we will track the evolution of Russian civilization over the centuries and through radically different political regimes. Topics to be discussed include the influence of Byzantine, Mongol-Tataric, and Western culture in Russian civilization; forces of change and continuity in political, intellectual and cultural life; the relationship between center and periphery; systems of social and political legitimization; and symbols and practices of collective identity.",E. Gilburd & Staff,"Winter
Note(s): Taking these courses in sequence is recommended but not required.","SOSC 24100, REES 26012"
HIST 14100,Introduction to Russian Civilization III,"When taken following Introduction to Russian Civilization I and II, Introduction to Russian Civilization III meets the general education requirement in Humanities, Civilization Studies, and the Arts. The course is thematic and will vary from year to year. 
Spring 24 theme: This course tracks how the radical anti-government philosophy of anarchism influenced major cultural figures and texts as well as revolutionary movements in the Russian Empire, Soviet Union, and post-Soviet Russia. Against the authoritarianism associated with Russia, anarchism provided an enticing (or terrifying!) political alternative--particularly for writers, artists and revolutionaries. We read texts by Dostoevsky, Tolstoy and others, look at major works of art influenced by anarchist ideas, and learn about grassroots movements in the Russian Revolutions, Civil War, Soviet cultural underground and, eventually, Perestroika. We follow waves of immigration the United States and Europe and observe how governments across the world shaped their policies on immigration and free speech in response to the menace of anarchists and other revolutionaries from Eastern Europe. Finally, we look at how contemporary art and social movements today explore radical politics. Assignment options will include creative projects and student-led research.",A. Aizman,"Spring
Note(s): Students who wish to take this course for Civilization Studies Core credit must also take Russ Civ I and II.","SOSC 24200, REES 26015"
HIST 14001,Russian Short Fiction:  Experiments in Form,"Russian literature is known for the sweeping epics that Henry James once dubbed the ""loose baggy monsters."" However, in addition to the famed 'doorstop novels,' the Russian literary canon also has a long tradition of innovative short fiction-of short stories and novellas that experiment with forms of storytelling and narration. This course focuses on such works, as well as the narrative strategies and formal devices that allow these short stories and novellas to be both effective and economical. Throughout the quarter, we will read short fiction from a variety of Russian authors and examine the texts that establish the tradition of Russian short fiction as well as those that push its boundaries. This course will serve as a general survey of Russian Literature, as well as a focused introduction to a particular genre in that tradition. Although predominantly discussion-based, the class will also include short lectures by the instructor to introduce students to the broader historical contexts of the course texts, and to sample diverse theoretical approaches to those texts.",,,REES 25602
HIST 15411-15412-15413,East Asian Civilization I-II-III,"HIST 15411-15412-15413 meets the general education requirement in civilization studies via three civilization courses. HIST 15411-15412, HIST 15411-15413, or HIST 15412-15413 meet the general education requirement in civilization studies via two civilization courses.",,,
HIST 15411,"East Asian Civilization I, Ancient Period-1600","This course examines the politics, society, and culture of East Asia from ancient times until c. 1600. Our focus will be on examining key historical moments and intellectual, social, and cultural trends with an emphasis on the region as a whole. Students will read and discuss culturally significant texts and be introduced to various approaches to analyzing them.",K. Pomeranz,"Autumn
Prerequisite(s): HIST 15411-15412-15413 meets the general education requirement in civilization studies via three civilization courses. HIST 15411-15412, HIST 15411-15413, or HIST 15412-15413 meets the general education requirement in civilization studies via two civilization courses.","EALC 15411, SOSC 25411"
HIST 15412,"East Asian Civilization II, 1600-1895","The second quarter of the East Asian civilization sequence covering what are now China, Japan, and Korea from roughly 1600 to 1895. Major themes include demographic and economic change; the social and cultural effects of widespread but uneven commercialization; state formation, rebellion, and political change; migration, urbanization, and territorial expansion; changes in family and gender roles; changes in the ""natural"" environment, particularly as related to agricultural expansion; changes in religion, ideology, and relationships between ""elite"" and ""popular"" culture; and increasingly consequential encounters with Western Europeans, Russians, and Americans, especially in the nineteenth century. The course aims to treat East Asia as a single interacting region, rather than as three (or more) sharply separated proto-nations; however, it will also call attention to the enormous diversity both among and within China, Japan, and Korea, treating those differences as constantly evolving and as something to be explained rather than assumed.",S. Burns & K. Pomeranz,"Winter
Prerequisite(s): HIST 15411-15412-15413 meets the general education requirement in civilization studies via three civilization courses. HIST 15411-15412, HIST 15411-15413, or HIST 15412-15413 meets the general education requirement in civilization studies via two civilization courses.","EALC 15412, SOSC 25412"
HIST 15413,"East Asian Civilization III, 1895-Present","The third quarter of the East Asian civilization sequence covers the emerging nation-states of China, Korea, and Japan in the context of Western and Japanese imperialism and the rise of an interconnected global economy. Our themes include industrialization and urbanization, state strengthening and nation-building, the rise of social movements and mass politics, the impact of Japanese colonialism on the homeland and the colonies, East Asia in the context of US-Soviet rivalry, and the return of the region to the center of the global economy in the postwar years. Similar to the first and second quarters, we will look at East Asia as an integrated region, connected by trade and cultural exchange even when divided into opposing blocs during the Cold War. As much as possible, we will look beyond nation-states and their policies at underlying trends shared by the three East Asian nations, such as demographic change, changes in gender roles, and the rise of consumer culture.",Y. Dong & J. Eyferth,"Spring
Prerequisite(s): HIST 15411-15412-15413 meets the general education requirement in civilization studies via three civilization courses. HIST 15411-15412, HIST 15411-15413, or HIST 15412-15413 meets the general education requirement in civilization studies via two civilization courses.","EALC 15413, SOSC 25413"
HIST 15602-15603-15604,Ancient Empires I-II-III,"This sequence introduces three great empires of the ancient world. Each course in the sequence focuses on one empire, with attention to the similarities and differences among the empires being considered. By exploring the rich legacy of documents and monuments that these empires produced, students are introduced to ways of understanding imperialism and its cultural and societal effects—both on the imperial elites and on those they conquered. Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.",,,
HIST 15602,Ancient Empires I: The Hittite Empire,"This course introduces students to the Hittite Empire of ancient Anatolia. In existence from roughly 1750-1200 BCE, and spanning across modern Turkey and beyond, the Hittite Empire is one of the oldest and largest empires of the ancient world. We will be examining their history and their political and cultural accomplishments through analysis of their written records - composed in Hittite, the world's first recorded Indo-European language - and their archaeological remains. In the process, we will also be examining the concept of ""empire"" itself: What is an empire, and how do anthropologists, archaeologists, and historians study this unique kind of political formation?",James Osborne,"Winter
Note(s): Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.","CLCV 25700, NEHC 20011, SOSC 20011"
HIST 15603,Ancient Empires II: The Ottoman Empire,"The Ottomans ruled in Anatolia, the Middle East, South East Europe and North Africa for over six hundred years. The objective of this course is to understand the society and culture of this bygone Empire whose legacy continues, in one way or another, in some twenty-five contemporary successor states from the Balkans to the Arabian Peninsula. The course is designed as an introduction to the Ottoman World with a focus on the cultural history of the Ottoman society. It explores identities and mentalities, customs and rituals, status of minorities, mystical orders and religious establishments, literacy and the use of the public sphere.",Hakan Karateke,"Autumn
Note(s): Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.","MDVL 20012, SOSC 20012, CLCV 25800, NEHC 20012"
HIST 15604,Ancient Empires III :The Egyptian Empire of the New Kingdom,"For most of the duration of the New Kingdom (1550-1069 BC), the ancient Egyptians were able to establish a vast empire and becoming one of the key powers within the Near East. This course will investigate in detail the development of Egyptian foreign policies and military expansion which affected parts of the Near East and Nubia. We will examine and discuss topics such as ideology, imperial identity, political struggle and motivation for conquest and control of wider regions surrounding the Egyptian state as well as the relationship with other powers and their perspective on Egyptian rulers as for example described in the Amarna letters.",Brian Muhs,"Winter
Note(s): Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.","SOSC 20013, NEHC 20013, CLCV 25900"
HIST 15611-15612-15613,Islamicate Civilization I-II-III,"This sequence surveys the intellectual, cultural, religious, and political development of the Islamic world (Middle East and North Africa), from its origins in pre-Islamic Arabia to the late 20th century. The sequence is required for MA students in CMES and counts toward completion of the NELC major and minor. It is recommended that the course be taken in sequence.",,,
HIST 15611,Islamicate Civilization I: 600-950,"This course is an introduction to the history and the study of early Islamicate societies, from the rise of Islam in late antiquity to the early Abbasid period (ca. 600-950 CE), considering various religious and social groups. We will look at the same historical arc from multiple perspectives: political events, such as the Muslim conquests and the rise of ruling dynasties, but also other factors that impacted people's lives in the early centuries of Islamic rule-the environment they inhabited and transformed, documents they created, social institutions, and economic activities. What broad developments characterized the early Islamic period? Who brought those changes about? And how are they studied today?",CECILIA PALOMBO,"Autumn. This course will not be offered for the 2021-2022 academic year.
Note(s): The Islamicate Civilization sequence does not fulfill the General Ed requirements","NEHC 20201, MDVL 20201, NEHC 30201, ISLM 30201, HIST 35621, RLST 20201"
HIST 15612,Islamicate Civilization II: 950-1750,"This course, a continuation of Islamicate Civilization I, surveys intellectual, cultural, religious and political developments in the Islamic world from Andalusia to the South Asian sub-continent during the periods from ca. 950 to 1750. We trace the arrival and incorporation of the Steppe Peoples (Turks and Mongols) into the central Islamic lands; the splintering of the Abbasid Caliphate and the impact on political theory; the flowering of literature of Arabic, Turkic and Persian expression; the evolution of religious and legal scholarship and devotional life; transformations in the intellectual and philosophical traditions; the emergence of Shi`i states (Buyids and Fatimids); the Crusades and Mongol conquests; the Mamluks and Timurids, and the ""gunpowder empires"" of the Ottomans, Safavids, and Moghuls; the dynamics of gender and class relations; etc. This class partially fulfills the requirement for MA students in CMES, as well as for NELC majors and PhD students.",Mustafa Kaya,"Winter. This course will not be offered for the 2021-2022 academic year.
Prerequisite(s): Islamicate Civilization I (NEHC 20201) or Islamic Thought & Literature-1 (NEHC 20601), or the equivalent
Note(s): The Islamicate Civilization sequence does not fulfill the General Ed requirements","MDVL 20202, NEHC 30202, ISLM 30202, HIST 35622, RLST 20202, NEHC 20202"
HIST 15613,Islamicate Civilization III: 1750-Present,"This course covers the period from ca. 1750 to the present, focusing on Western military, economic, and ideological encroachment; the impact of such ideas as nationalism and liberalism; efforts at reform in the Islamic states; the emergence of the ""modern"" Middle East after World War I; the struggle for liberation from Western colonial and imperial control; the Middle Eastern states in the cold war era; and local and regional conflicts.",Carl Shook,"Spring. This course will not be offered for the 2021-2022 academic year.
Prerequisite(s): Islamicate Civilization II (NEHC 20202) or Islamic Thought & Literature-2 (NEHC 20602), or the equivalent
Note(s): The Islamicate Civilization sequence does not fulfill the General Ed requirements","HIST 35623, NEHC 20203, NEHC 30203, ISLM 30203, RLST 20203"
HIST 16101-16102-16103,Introduction to Latin American Civilization I-II-III,"Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies. This sequence is offered every year. This course introduces the history and cultures of Latin America (e.g., Mexico, Central and South America, and the Caribbean Islands).",,,
HIST 16101,Introduction to Latin American Civilization I,"Autumn Quarter examines the origins of civilizations in Latin America with a focus on the political, social, and cultural features of the major pre-Columbian civilizations of the Maya, Inca, and Aztec. The quarter concludes with an analysis of the Spanish and Portuguese conquest, and the construction of colonial societies in Latin America. The courses in this sequence may be taken in any order.",Kourí; Newman; Borges; Brittenham,Autumn,"LACS 34600, LACS 16100, SOSC 26100, ANTH 23101, HIST 36101, CRES 16101, RDIN 16100"
HIST 16102,Introduction to Latin American Civilization II,"Winter Quarter addresses the evolution of colonial societies, the wars of
independence, and the emergence of Latin American nation-states in the
changing international context of the nineteenth century.","Winter: Hicks; Schwartz-Francisco; Tenorio
Autumn: Borges",Winter,"LACS 34700, SOSC 26200, ANTH 23102, CRES 16102, HIST 36102, RDIN 16200, PPHA 39770, LACS 16200"
HIST 16103,Introduction to Latin American Civilization III,"Spring Quarter focuses on the twentieth century, with special emphasis on the challenges of economic, political, and social development in the region.",Fischer; Saramago; Schwartz-Francisco,Spring,"ANTH 23103, LACS 16300, PPHA 39780, HIST 36103, SOSC 26300, LACS 34800, CRES 16103"
HIST 16700-16800-16900,Ancient Mediterranean World I-II-III,"Available as a three-quarter sequence (Autumn-Winter-Spring) or as a two-quarter sequence (Autumn-Winter or Winter-Spring). This sequence meets the general education requirement in civilization studies. It surveys the social, economic, and political history of Greece to the death of Alexander the Great (323 BC), the Roman Republic (509 to 27 BC), and late antiquity (27 BC to the fifth century AD).",,,
HIST 16700,Ancient Mediterranean World I: Greece,"This course surveys the social, economic, and political history of Greece from prehistory to the Hellenistic period. The main topics considered include the development of the institutions of the Greek city-state, the Persian Wars and the rivalry of Athens and Sparta, the social and economic consequences of the Peloponnesian War, and the eclipse and defeat of the city-states by the Macedonians.",J. Hall,"Autumn
Prerequisite(s): This sequence meets the general education requirement in civilization studies.","SOSC 27710, CLCV 20700"
HIST 16800,Ancient Mediterranean World II:  Rome,"Part II surveys the social, economic, and political history of Rome, from its prehistoric beginnings in the twelfth century BCE to the end of the Severan dynasty in 235 CE. Throughout, the focus will be upon the dynamism and adaptability of Roman society, as it moved from a monarchy to a republic to an empire. The course will also cover the questions of social organization (free and unfree people, foreigners), gender relations, religion, and specific forms of the way of life of the Romans. It will be based both on lectures and on discussions of textual or archaeological documents in smaller discussion groups.",C. Ando,"Winter
Prerequisite(s): This sequence meets the general education requirement in civilization studies.","SOSC 16800, CLCV 20800"
HIST 16900,Ancient Mediterranean World III: Late Antiquity,"Part III examines late antiquity, a period of paradox. The later Roman emperors established the most intensive, pervasive state structures of the ancient Mediterranean, yet yielded their northern and western territories to Goths, Huns, Vandals, and, ultimately, their Middle Eastern core to the Arab Muslims. Imperial Christianity united the populations of the Roman Mediterranean in the service of one God, but simultaneously divided them into competing sectarian factions. A novel culture of Christian asceticism coexisted with the consolidation of an aristocratic ruling class notable for its insatiable appetite for gold. The course will address these apparent contradictions while charting the profound transformations of the cultures, societies, economies, and political orders of the Mediterranean from the conversion of Constantine to the rise of Islam.",R. Payne,"Spring
Prerequisite(s): This sequence meets the general education requirement in civilization studies.","MDVL 16900, CLCV 20900, SOSC 27910"
HIST 17311,"Science, Culture, and Society in Western Civilization I: Ancient Science and Medicine","This undergraduate course represents the first quarter of the Science, Culture, and Society in Western Civilization general education sequence. Taking these courses in sequence is recommended but not required. This quarter will focus on science and medicine in societies across the ancient world. Students will gain an introduction to methods of healing and knowing practiced in Africa, Asia, Europe, and North and South America before 1500. Students will also acquire an understanding of the many questions that historical research raises for our own understanding of contemporary medicine and science, and some of the methods that historians use to bring the past to light. Topics include ancient surgery and pharmacology; the manifold meanings of ""disease;"" the function and recognition of ""the body,"" of ""mind,"" and of perception; how to acquire ""good"" and ""true"" knowledge; continuity and discontinuity of beliefs and practices over time and place; and exchange of ideas and materials across cultures, among other subjects.",Michael Rossi,Autumn. Offered in Autumn 2024,HIPS 18301
HIST 17411,"Science, Culture, and Society in Western Civilization II: History of Medicine 1500 to 1900","This course examines the theory and practice of medicine between 1500 and 1900. Topics include traditional early modern medicine; novel understandings of anatomy, physiology, and disease from the Renaissance on; and new forms of medical practice, training, and knowledge-making that developed in the eighteenth and nineteenth centuries.",M. Rossi,Winter. Course is offered in Winter 2025.,HIPS 18401
HIST 17515,"Science, Culture, and Society in Western Civilization III: Histories of the Bomb","In the long history of the planet, the years since 1945 have a remarkable and unique geological signature: one left by the creation and testing of atomic weapons, medicine, and energy. This class explores the intellectual, social, economic, and political histories of nuclear research, including topics such as transnational scientific migrations; the Manhattan Project; weapons testing and development; the rise of ""Big Science""; postcolonial histories of nuclear development; domestic and international anti-nuclear activism; and ecological and environmental impacts of fallout, waste, and nuclear accidents. Drawing on both primary and secondary sources, we will consider how the story we tell about the history of the nuclear age and the rise of science came to be, and how that story has transformed at different points in the twentieth century.",E. Kern,Spring. Offered in Spring 2024,HIPS 18505
HIST 17521-17522,Energy in World Civilizations,"This two-quarter course sequence explores the historical roots of climate change and other global environmental problems by focusing on the social use of energy over time. Part I covers energy systems across the world from prehistory to the end of the nineteenth century. Part II investigates global energy systems from the early twentieth century to the present. The courses should be taken in chronological sequence. Taken together, they fulfill the general education requirement in civilization studies.",,,
HIST 17521,Energy in World Civilizations I,This two-quarter course explores the historical roots of climate change and other global environmental problems with a special attention to how energy use shapes human societies over time. Part I covers energy systems across the world from prehistory to the end of the nineteenth century.,Staff,"Autumn
Winter
Prerequisite(s): Parts I and II should be taken in sequence. This sequence meets the general education requirement in civilization studies.","ENST 27521, HIPS 17521, CEGU 27521, SOSC 27521"
HIST 17522,Energy in World Civilizations II,"This two-quarter course explores the historical roots of climate change and other global environmental problems with a special attention to how energy use shapes human societies over time. Part II covers energy systems across the world from the early twentieth century to the present, examining themes such as the uneven globalization of energy-intensive lifestyles, the changing geopolitics of energy, and possible futures beyond fossil-fuel dependence.",Staff,"Spring
Winter
Prerequisite(s): Parts I and II should be taken in sequence. This sequence meets the general education requirement in civilization studies.","CEGU 27522, HIPS 17522, ENST 27522, SOSC 27522"
HIST 18301-18302-18303,Colonizations I-II-III,"This sequence meets the general education requirement in civilization studies. This three-quarter sequence approaches the concept of civilization from an emphasis on cross-cultural/societal connection and exchange. We explore the dynamics of conquest, slavery, colonialism, and their reciprocal relationships with concepts such as resistance, freedom, and independence, with an eye toward understanding their interlocking role in the making of the modern world.",,,
HIST 18301,"Colonizations I: Colonialism, Enslavement and Resistance in the Atlantic World","This quarter examines the making of the Atlantic world in the aftermath of European colonial expansion. Focusing on the Caribbean, North and South America, and western Africa, we cover the dynamics of invasion, representation of otherness, enslavement, colonial economies and societies, as well as resistance and revolution.",Staff,"Autumn
Spring
Winter
Note(s): This sequence meets the general education requirement in civilization studies. This course is offered every year. These courses can be taken in any sequence.","ANTH 24001, RDIN 24001, SOSC 24001, CRES 24001"
HIST 18302,"Colonizations II: Imperial Expansion, Anti-Imperialism, and Nation in Asia",This quarter covers the histories of modern European and Japanese colonialism in South and East Asia and the Pacific. Themes examined include the logics and dynamics of imperial expansion and rule; Orientalist discourses; uprisings and anti-imperial movements; the rise of nationalisms; and paths to decolonization in the region.,Staff,"Autumn
Spring
Winter
Note(s): This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.","SALC 24002, SOSC 24002, ANTH 24002, RDIN 24002, CRES 24002"
HIST 18303,"Colonizations III: Decolonization, Revolution, Freedom","The third quarter considers the processes and consequences of decolonization both in newly independent nations and former colonial powers. Through an engagement with postcolonial studies, we explore the problematics of freedom and sovereignty; anti-colonial movements, thinking and struggles; nation-making and nationalism; and the enduring legacies of colonialism.",Staff,"Autumn
Spring
Winter
Note(s): This sequence meets the general education requirement in civilization studies. These courses can be taken in any sequence.","SOSC 24003, RDIN 24003, SALC 20702, ANTH 24003, CRES 24003"
HIST 20405,Ancient Empires VI: The Assyrian Empire,"This course will examine the concept and definition of empire and the practices of imperial control through a case study of Mesopotamia's best-known empire, the Neo-Assyrian (first half of the 1st millennium BCE). At its peak, the Assyrians ruled a vast area covering most of modern Iraq and Syria, plus parts of Iran, Turkey and the Levant, with aspirations to control Egypt. The gradual expansion of this empire from late 2nd millennium BCE beginnings and its extremely rapid collapse in ca. 612 BCE provide an excellent example of the tensions within trajectories of empire. The course themes include warfare and political strategies, identity and ethnicity, imperial bureaucracy, and the practical and ideological purposes of infrastructure building. Evidence examined will include texts (in translation) and the archaeological record at various scales, from settlements through artworks. We will also examine paradoxes, such as the contrast between textual claims of hegemony and limited archaeological evidence for this, and the power of visual propaganda versus its select audience.",Augusta McMahon,"Spring
Note(s): Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.",NEHC 20016
HIST 20406,Ancient Empires VII: Sumerians and Akkadians,"The course introduces students to the first 'empires' in the ancient Middle East. We will study the earliest attempts under both Sumerian and Akkadian leadership at unifying the old Sumerian city states in what is today southern Iraq in the mid-third millennium BCE. Our focus will then be on the two successful empires that arose from these attempts, namely the one founded by Sargon of Akkade in ca. 2300 BCE and the one ruled by the Third Dynasty of Ur from 2092-2003 BCE. While exploring a rich variety of sources, both textual and from archaeological contexts, we will pay particular attention to understanding expansionist efforts, strategies of empire building, the establishment of a centralized state bureaucracy, ideologies of kingship, ethnicity and identity, as well as rebellions against the new political system and theories about why these early empires began to crumble after only a few generations. Since these new forms of dominion were tested and developed for the first time in this formative period and kings of these dynasties acquired a special status in Mesopotamian cultural memory, this course provides a solid base for understanding the later development of ancient Middle Eastern history but can also be studied for the sake of understanding early empire formation.",Jana Matuszak,"Spring
Note(s): Taking these courses in sequence is not required. This sequence meets the general education requirement in civilization studies.",NEHC 20017
HIST 25610,Islamic Thought and Literature I,"This sequence explores the thought and literature of the Islamic world from the coming of Islam in the seventh century C.E. through the development and spread of its civilization in the medieval period and into the modern world. Including historical framework to establish chronology and geography, the course focuses on key aspects of Islamic intellectual history: scripture, law, theology, philosophy, literature, mysticism, political thought, historical writing, and archaeology. In addition to lectures and secondary background readings, students read and discuss samples of key primary texts, with a view to exploring Islamic civilization in the direct voices of the people who participated in creating it. All readings are in English translation. No prior background in the subject is required. This course sequence meets the general education requirement in civilization studies.","Flowers, Adam",Autumn,"MDVL 20601, SOSC 22000, NEHC 20601, RLST 20401"
